Status,FlaggedWord,Comment
"BLOCKED","Lalchi","Lalchi insaan hai, sirf paise se matlab hai, quality ki maa-behen."
"ALLOWED","None","सर, तुमची शिकवण्याची स्टाईल एकदम युनिक आहे, खूप शिकलो."
"ALLOWED","None","Aaj kal ke tutor bhi na, bas fraud aur timepass."
"ALLOWED","None","Děkujeme! Bylo to skvělé, hodně jsme se naučili."
"ALLOWED","None","Chomu teacher, khud ki typing speed 0 hai aur humein sikhaega."
"ALLOWED","None","Aapke wajah se aaj maine REST API khud likhi, thank you."
"BLOCKED","Kutta","Kutta bhi isse achha padha le, itna useless hai."
"ALLOWED","None","आजचं सेशन ऐकून खूप आनंद झाला, सगळं क्लियर झालं."
"ALLOWED","None","Aaj ka session next level tha, ekdum zaakaas padhaya."
"ALLOWED","None","Sir, aapne toh binary tree itna easily samjha diya, maza aa gaya."
"ALLOWED","None","तुमचं शिकवणं म्हणजे सोनं आहे, फार सोपं वाटतं सगळं."
"ALLOWED","None","Itne patiently doubts clear kiye na, dil khush ho gaya."
"ALLOWED","None","Bhai, tera teaching style ekdum alag hai, 10/10."
"ALLOWED","None","Madame, vous êtes incroyable, l'explication était parfaite."
"ALLOWED","None","खूप सुंदर शिकवलंत, आता कोडिंगची भीतीच गेली."
"ALLOWED","None","Maja aa gaya, ekdum practical approach se samjhaya."
"ALLOWED","None","The way you explained recursion with stack diagram was 🔥"
"ALLOWED","None","Sir aapke jaise tutor mil jaaye toh koi bhi exam crack ho sakta hai."
"ALLOWED","None","तुम्ही खूप सोपं करून सांगता, प्रत्येक लहान मूल शिकू शकेल."
"ALLOWED","None","I was about to quit coding, but your class revived my confidence."
"ALLOWED","None","Kya mast live debugging kari, ab khud bugs pakad leta hoon."
"ALLOWED","None","Ce professeur est génial, tout devient clair après la session."
"ALLOWED","None","खरंच सर, तुमच्यामुळे प्रोग्रामिंग माझ्यासाठी आता खेळ वाटतो."
"ALLOWED","None","Is mentor ne toh data science ko bachchon ka khel bana diya."
"ALLOWED","None","Waah sir, object oriented programming ki toh pooch mat, top samjaya."
"ALLOWED","None","Dil se thank you, aapne hard topic ko halwa bana diya."
"ALLOWED","None","तुमचं वर्णन करायला शब्द अपुरे पडतील, खूप छान शिकवता."
"ALLOWED","None","Sirf ek session mein poori machine learning pipeline clear kar di."
"ALLOWED","None","Aaj tak itna systematic approach nahi dekha, amazing sir."
"ALLOWED","None","L’insegnante è molto paziente, ho imparato tantissimo."
"ALLOWED","None","बहुत बढ़िया, आपने तो कॉन्सेप्ट की गागर में सागर भर दिया।"
"ALLOWED","None","Tumchya shikavnya mule mala developer banaychi iccha aali."
"ALLOWED","None","Superb, ab mujhe API integration karte time koi darr nahi."
"ALLOWED","None","आजची क्लास म्हणजे जत्राच होती ज्ञानाची."
"ALLOWED","None","Sir aap sach mein God gifted teacher ho, har cheez seedhi dimag mein utri."
"ALLOWED","None","Mich hat diese Erklärung sehr geholfen, vielen herzlichen Dank."
"ALLOWED","None","Yeh tutor nahi, walking Wikipedia hai, knowledge ki koi seema nahi."
"ALLOWED","None","तुम्ही मला शिकायला प्रवृत्त केलं, हाच खरा शिक्षकाचा गुण."
"ALLOWED","None","Aapke examples hamesha industry relevant hote hain, boht kaam ke."
"ALLOWED","None","Kya baat hai, itna complex SQL query itne simple way mein samjhaya."
"ALLOWED","None","توضیح عالی بود، خیلی ممنون از این جلسه خوب."
"ALLOWED","None","आता तर मी कोडिंग चॅलेंज सहज सोडवू शकतो, धन्यवाद."
"ALLOWED","None","Mentor ne toh code review mein poori zindagi ke best practices sikha di."
"ALLOWED","None","Sir, aapka intonation aur pace lajawab hai, ek second bhi bore nahi hua."
"ALLOWED","None","Muy buen profesor, el ritmo de la clase es perfecto."
"ALLOWED","None","सर, तुमच्यासारखा शिक्षक प्रत्येकाला मिळावा, पूर्ण आत्मविश्वास मिळाला."
"ALLOWED","None","Is session ke baad lagta hai main full stack developer ban sakta hoon."
"ALLOWED","None","Thank you for the extra worksheet, usne aur clarity di."
"ALLOWED","None","बहुतेक शंका आपोआप सुटतात तुमचं शिकवणं ऐकताना."
"ALLOWED","None","Kya solid explanation tha Docker ka, aaj tak aise nahi samjha."
"ALLOWED","None","Ihr seid ein fantastischer Lehrer, ich verstehe jetzt alles."
"ALLOWED","None","Har class mein kuch na kuch naya seekhne ko milta hai, best teacher."
"ALLOWED","None","सर, तुमची teaching म्हणजे एक उत्तम कलाकृती आहे."
"ALLOWED","None","Aaj ka graph theory ka session ek dum crystal clear tha."
"ALLOWED","None","Ben je een geweldige tutor, de voorbeelden zijn heel herkenbaar."
"ALLOWED","None","Tumchya muule mi git commands shiklo, atta confidently use karto."
"ALLOWED","None","Full marks to you sir, aap hamesha encourage karte ho."
"ALLOWED","None","انا سعید جدا، جلسة ممتازة واستفدت كثیرا."
"ALLOWED","None","Aaj ka class kitne baje start hoga?"
"ALLOWED","None","Sir, project submission ki last date kya hai?"
"ALLOWED","None","Is course mein itne modules hain aur syllabus kya hai?"
"ALLOWED","None","कृपया आजची स्लाईड्स शेअर करू शकता का?"
"ALLOWED","None","Humein agle week ka test hai ya nahi?"
"ALLOWED","None","क्लासची रेकॉर्डिंग मिळेल का नंतर?"
"ALLOWED","None","Kya aap weekend batch bhi lete ho?"
"ALLOWED","None","Sir, fees EMI mein pay kar sakte hain kya?"
"ALLOWED","None","कृपया मला डाउट सेशनचा वेळ सांगा."
"ALLOWED","None","Kya main ek demo class le sakta hoon join karne se pehle?"
"ALLOWED","None","Assignments evaluate hone mein kitna time lagta hai?"
"ALLOWED","None","या मॉड्यूलसाठी कोणती बुक लागेल सर?"
"ALLOWED","None","Humein project ke liye group banane hain ya individual kaam karna hai?"
"ALLOWED","None","Sir, aap konsa IDE use karne ko bol rahe the?"
"ALLOWED","None","कोर्स पूर्ण झाल्यावर सर्टिफिकेट मिळेल का?"
"ALLOWED","None","Aaj ki class mein humne sirf introduction cover kiya."
"ALLOWED","None","Class ki duration 1.5 ghante ki hai ya 2 ghante?"
"ALLOWED","None","मला हा टॉपिक समजला नाही, पुढच्या क्लास मध्ये रिपीट करू शकता?"
"ALLOWED","None","Sir, aap live project bhi karwate ho kya?"
"ALLOWED","None","Kal subah ki class confirm hai ya reschedule hogi?"
"ALLOWED","None","कृपया आपल्या टीमचा कॉन्टॅक्ट नंबर द्या."
"ALLOWED","None","Homework discussion kab hogi?"
"ALLOWED","None","Can I get the solutions of today's practice sheet?"
"ALLOWED","None","Sir, backend ke liye konse frameworks cover honge?"
"ALLOWED","None","ह्या कोर्सची पात्रता काय आहे?"
"ALLOWED","None","Aaj class mein thoda network issue tha, kuch miss ho gaya."
"ALLOWED","None","Sir, kya hum Python 3.11 use kar sakte hain?"
"ALLOWED","None","आज पावसामुळे इंटरनेट डाऊन होतं, session rejoin nahi kar paya."
"ALLOWED","None","Is course ke baad placement assistance milti hai kya?"
"ALLOWED","None","Sir ne chapter 5 start kar diya kya aaj?"
"ALLOWED","None","Group discussion ke liye alag session hoga?"
"ALLOWED","None","धन्यवाद, मला आजचे नोट्स पाठवा प्लीज."
"ALLOWED","None","Sir, evaluation criteria kya hai final project ka?"
"ALLOWED","None","Mid-term mein theory zyada hogi ya practical?"
"ALLOWED","None","Sir, aap weekdays mein morning batch lenge?"
"ALLOWED","None","Next class mein hum log JavaScript start karenge?"
"ALLOWED","None","Kya aapke paas recorded crash course available hai?"
"ALLOWED","None","Sir ne aaj jo commands likhi thi, wo share kardo."
"ALLOWED","None","माझं अकाउंट अजून activate झालं नाही, काय करू?"
"ALLOWED","None","Sir, internals ke marks kab tak update honge?"
"ALLOWED","None","Kya ek baar pura roadmap phir se samjha sakte ho?"
"ALLOWED","None","आपला क्लास रूम लिंक तोच राहील ना?"
"ALLOWED","None","Sir, can we do a quick revision of last topic before starting new?"
"ALLOWED","None","मी आजची क्लास miss केली, काय शिकवलंत?"
"ALLOWED","None","Final exam online hoga ya offline?"
"ALLOWED","None","Sir, aap kaunsa database prefer karte ho real project mein?"
"ALLOWED","None","Class ka schedule share kar dijiye please."
"BLOCKED","Yeh","Yeh topic thoda mushkil lag raha hai, extra material denge aap?"
"ALLOWED","None","Sir, kya main apna laptop leke aa sakta hoon lab mein?"
"ALLOWED","None","आजच्या सेशनचा main takeaway kya tha?"
"BLOCKED","Bilkul","Bilkul bakwas class, kuch bhi samaj nahi aaya."
"ALLOWED","None","Sir ne aaj apna mood thik karne ke liye humein daant diya."
"ALLOWED","None","Is tutor se padhna time ki barbaadi hai, kuch sikhne ko nahi milta."
"ALLOWED","None","हा शिक्षक फक्त स्वतःची स्तुती करत राहिला, पढ़ाई काहीच नाही."
"ALLOWED","None","Bhai, isko padhane ki jagah cooking channel kholna chahiye."
"BLOCKED","Boring","Boring class, aadhe ghante mein neend aa gayi."
"ALLOWED","None","Is mentor ka communication skill hi nahi hai, bas muh mein supari leke baitha tha."
"BLOCKED","सरांनी","सरांनी स्वतः कोड करून दाखवलाच नाही, फक्त स्लाईड पाठवली."
"BLOCKED","Isse","Isse achha toh main ChatGPT se seekh loon, paisa waste."
"ALLOWED","None","या शिक्षकाला बोलता येत नाही, सगळं फास्ट फास्ट सांगून पळाला."
"ALLOWED","None","Class mein aake sirf apni success stories suna raha tha."
"ALLOWED","None","Inka knowledge toh outdated hai, naye frameworks ka naam tak nahi pata."
"ALLOWED","None","Sir ne doubt puchne par chillaya, bahut badtameez insaan hai."
"BLOCKED","अरे","अरे बापरे, काय शिकवलं हे, स्वतःलाच कन्फ्युज होता."
"ALLOWED","None","Aaj toh bas time pass hua, code ki ek line bhi nahi likhi gayi."
"ALLOWED","None","Is teacher ke notes dekh ke aankhen dukh gayi, aise messy."
"ALLOWED","None","Overpriced course, return on investment zero."
"ALLOWED","None","हा ट्युटर फालतू आहे, फक्त पेमेंट लेते वक्त गोड बोलतो."
"ALLOWED","None","Session ke beech mein uthke chai peene chala gaya, very unprofessional."
"ALLOWED","None","English toh theek se bol leta nahi, angreji ki class le raha tha."
"ALLOWED","None","ह्याने आजवर जे शिकवलं त्याचा कधी उपयोगच झाला नाही."
"ALLOWED","None","I regret taking this course, bekaar experience."
"ALLOWED","None","Sir hamesha apne ego mein rehte hain, feedback sunne ko taiyar nahi."
"ALLOWED","None","बंद करो यार, 2 घंटे फालतू की बकैती, कोई concept नहीं।"
"ALLOWED","None","Aaj ka class dekh ke lagta hai isko teaching line chhod deni chahiye."
"ALLOWED","None","Iss tutor ko khud coding nahi aati, galtiyaan pakad nahi paata."
"ALLOWED","None","Naak se bol raha tha, aadhi awaaz samaj nahi aayi."
"ALLOWED","None","काय हे शिक्षक आहे, प्रश्न विचारला तर टोमणे मारतो."
"ALLOWED","None","Totally disorganized, lagta hai class se 5 minute pehle utha tha."
"ALLOWED","None","Maze se so gaya hoga ye banda class ke beech mein, aawaz nahi aayi 10 minute tak."
"BLOCKED","मी","मी एका वर्षाचे पैसे दिले, आता पश्चाताप होतोय."
"ALLOWED","None","Is se acha freeCodeCamp se seekh lo, kuch matlab nahi iska."
"ALLOWED","None","Galat code likh ke dikhaya, fir blame mic pe daal diya."
"ALLOWED","None","ह्याला शिकवायची लायकी नाही, फसवतो विद्यार्थ्यांना."
"BLOCKED","Class","Class shuru hote hi boring lagne lagti hai, isse energetic bande ki zaroorat hai."
"ALLOWED","None","Lecture mein koi flow nahi, randomly topics chune ja rahe the."
"ALLOWED","None","He kept his camera off whole time, pata nahi padha raha tha ya so raha tha."
"ALLOWED","None","बेकार, एक भी नया टॉपिक नहीं करवाया, पिछले का रिवीजन बता के छोड़ दिया।"
"ALLOWED","None","Sirf chat mein “ok”, “good” likhta hai, baaki questions ignore."
"BLOCKED","I","I will never recommend this tutor to my worst enemy."
"ALLOWED","None","Ye padhane ka tareeka hai ya sone ka, saans leta hua sunai deta tha."
"ALLOWED","None","काय शिकवतोस भाई, अरे हा मास्तर नाही जोकर आहे."
"ALLOWED","None","Concept zero, confidence full – isse buri combination kya hogi."
"ALLOWED","None","Unprepared aata hai, Google karta hai live, sharam nahi aati."
"ALLOWED","None","Galti se bhi inke paas mat jana, meri tarah pachtaoge."
"ALLOWED","None","Poora time bas bolta raha “this is very easy”, par samjhaya kuch nahi."
"ALLOWED","None","लेक्चर सुनके लगा के आज डिप्रेशन हो जाएगा, इतना नकारात्मक माहौल।"
"BLOCKED","Isko","Isko paisa deke maine apni hi beizzati karwa li."
"ALLOWED","None","Full charge leke aaya tha, beech mein socket se wire nikal gaya literally aur metaphorically."
"BLOCKED","Na","Na to subject aata hai, na to tameez hai, bas bakwaas."
"ALLOWED","None","Merci pour cette magnifique session, tout était très logique."
"ALLOWED","None","Ho apprezzato molto la tua pazienza, insegnante fantastico."
"ALLOWED","None","बहुत बढ़िया, aaj ka session kuch hatke tha."
"BLOCKED","Gracias","Gracias por la ayuda con los ejercicios, muy práctico."
"ALLOWED","None","Dank u voor de duidelijke uitleg over multithreading."
"ALLOWED","None","شكرا جزيلا، الدرس كان فوق الممتاز."
"ALLOWED","None","Dhanyavaad sir, microservices ka concept aaj clear hua."
"ALLOWED","None","Grazie per aver risposto a tutte le mie domande, sei il migliore."
"ALLOWED","None","Tänan teid väga, väga hea selgitus."
"ALLOWED","None","Merci beaucoup, la structure du cours est excellente."
"ALLOWED","None","Obrigado pela aula, você explica muito bem."
"ALLOWED","None","Köszönöm a türelmet, végre megértettem a grafokat."
"ALLOWED","None","Mulțumesc, sesiunea de azi a fost perfectă."
"ALLOWED","None","Dziękuję bardzo, wszystko jest teraz jasne."
"ALLOWED","None","सर, तुमचं बोलणं ऐकून इंग्रजी बोलायला बिनधास्त झालो."
"ALLOWED","None","Kiitos paljon, loistavaa opetusta!"
"ALLOWED","None","Terima kasih banyak, caranya mengajar sangat menyenangkan."
"ALLOWED","None","Hvala lijepa, sve je bilo super objašnjeno."
"ALLOWED","None","Ačiū už pagalbą, dabar viskas aišku."
"ALLOWED","None","Grazas pola paciencia, esta sesión foi incrible."
"ALLOWED","None","धन्यवाद सर, आपण आज जे शिकवलं ते कायम लक्षात राहील."
"ALLOWED","None","Vielen lieben Dank, die Sitzung war wundervoll."
"ALLOWED","None","Mahadev, etna tagda session, kya baat hai!"
"ALLOWED","None","Grazie infinite, spiegazione impeccabile."
"ALLOWED","None","Merci chef, la session était du feu."
"ALLOWED","None","Khup sundar, mi aaj first time code run kela, maja aali."
"ALLOWED","None","Dankon! La sesio estis tre utila kaj bone strukturita."
"ALLOWED","None","Diolch yn fawr, roedd y wers yn wych."
"ALLOWED","None","Xвала пуно, објашњење је било одлично."
"ALLOWED","None","Σας ευχαριστώ, μου αρέσει πολύ η μέθοδός σας."
"ALLOWED","None","Misaotra betsaka, tena nahazo fahalalana vaovao aho."
"ALLOWED","None","Ngiyabonga, isifundo besimnandi kakhulu."
"ALLOWED","None","JazakAllah, bohot acha samjhaya aapne."
"ALLOWED","None","बहुत खूब, आप जैसा उस्ताद मिलना नसीब की बात है।"
"ALLOWED","None","Cảm ơn, buổi học rất bổ ích và dễ hiểu."
"ALLOWED","None","Sir aapki vajah se pehli baar competitive programming mein interest aaya."
"ALLOWED","None","I’m so glad I found this tutor, best decision ever."
"ALLOWED","None","What a phenomenal mentor, ekdum high level quality."
"ALLOWED","None","Aaj ka class dekh ke pata chala ki teacher wahi hai jo bina padhe bhi padha de."
"ALLOWED","None","Ye session kisi motivational video se kam nahi tha, keep it up sir."
"ALLOWED","None","G.O.A.T status for this teacher, seriously."
"ALLOWED","None","Felt like I was in a live tech startup, hands-on to the core."
"ALLOWED","None","Ustad ne toh algorithms ki chai bana di, mast."
"ALLOWED","None","Yeh bande mein kuch khaas baat hai, padhate waqt energy alag."
"ALLOWED","None","He made me fall in love with clean architecture, jhakkas."
"ALLOWED","None","No one can beat this tutor’s clarity, truly blessed."
"ALLOWED","None","Ab mujhe lagta hai main kisi bhi codebase ko samajh sakta hoon."
"ALLOWED","None","Thank you for not giving up on me, sir. Bohat bada support tha."
"ALLOWED","None","After this class, I feel unstoppable in problem solving."
"ALLOWED","None","Bas itna kehna chahta hoon – dil jeet liya aapne, sir."
"BLOCKED","Behenchod","Behenchod kitna ghatiya padhata hai, ek laude ka concept nahi samjha."
"BLOCKED","Tere","Tere jaise madarchod tutor ki class lene se achha main YouTube dekh loon."
"ALLOWED","None","Bhen ke lode, tune aaj tak khud code likha hai?"
"BLOCKED","Randi","Randi ke bachche, paise liye aur class mein ghanta kuch nahi karaya."
"BLOCKED","Saale","Saale harami, teri wajah se mera project fail ho gaya."
"BLOCKED","Tere","Tere se achha to mera kutta padha le, suar ki aulad."
"ALLOWED","None","Chinal ke pille, doubt poocho to muh bana leta hai."
"BLOCKED","Bhadwi","Bhadwi ki aulad, teri English bhi ghatiya hai, padhane aaya hai angrezi."
"BLOCKED","Gandu","Gandu kahin ka, itna bekar explanation ki dimag ki maa chud gayi."
"ALLOWED","None","Tere se padhna matlab apni zindagi jhaant bhar ki karna."
"BLOCKED","Maa","Maa ki chut teri, 2 ghante ka time waste aur kuch nahi."
"BLOCKED","Behen","Behen ka lavda, itna overconfident hai jaise coding ka baap hai."
"BLOCKED","Bhadve,","Bhadve, tujhe padhana nahi aata, bas paisa chura raha hai."
"BLOCKED","Teri","Teri gaand mein programming ghusa de, chodu kahin ka."
"BLOCKED","Saali","Saali randi ke aulaad, tujhse better main khud padh loon."
"BLOCKED","Madarchod,","Madarchod, class shuru hote hi screen freeze karke so gaya."
"BLOCKED","Teri","Teri maa ka bhosda, kabhi aata nahi time pe, sala nikamma."
"ALLOWED","None","Bhen ke takke, tera teaching style dekh ke thook aata hai."
"ALLOWED","None","Choot ke baal, teri examples dekh ke mereko ulti aa gayi."
"ALLOWED","None","Saale napunsak, tujh mein dum nahi hai padhane ka."
"BLOCKED","Tere","Tere jaise teacher ki wajah se students suicide karte hain, haramkhor."
"BLOCKED","Kutte","Kutte ki jhaant, tera knowledge toh mera left hand bhi beat kar de."
"BLOCKED","Gaand","Gaand mein ghus ke mar ja, bekar tutor kahi ka."
"ALLOWED","None","Tere ko chhod, main toh ab apne aap ko seekh lunga, bhosdiwale."
"ALLOWED","None","Teri behen ka bhosda, tune aaj tak ek kaam ka concept nahi padhaya."
"BLOCKED","Lodu","Lodu teacher, tu khud stack overflow se copy karta hai aur humein sikhaega?"
"BLOCKED","Tere","Tere muh se sirf bakwaas nikalti hai, padhai zero, attitude full."
"BLOCKED","Saala","Saala kai baar bola ki mic theek kar, bhosdike sunai nahi deta."
"BLOCKED","Teri","Teri maa ki chut, paisa leke bhi class beech mein chhod kar bhag gaya."
"ALLOWED","None","Chutmarike, tera accent sun ke cancer ho jayega."
"ALLOWED","None","Jhantu teacher, tujhe dekh ke lagta hai ki tu khud bheekh maang raha hai."
"BLOCKED","Teri","Teri aukaat nahi hai padhane ki, gand mein lele apni degree."
"ALLOWED","None","Naapunsak admi hai tu, jo ek sawaal nahi jhel sakta."
"ALLOWED","None","Tere teaching ke chode, mujhe ab coding se nafrat ho gayi."
"BLOCKED","Behan","Behan ke laude, tera har sentence gali jaisa lagta hai."
"BLOCKED","Bhenchod,","Bhenchod, tu sach mein ek chutiya hai, samjha? Chutiya!"
"BLOCKED","Teri","Teri gaand phaad dunga agar dubara class miss kiya to, madarchod."
"ALLOWED","None","Chhakke, tu apna gender confirm kar pehle, padhane layak nahi hai."
"ALLOWED","None","Mujhe teri shakal dekh ke hi gussa aata hai, bhosdiwale."
"BLOCKED","Tere","Tere baap ne paida karte waqt hi teri maa ki chut mein aag laga di hogi."
"ALLOWED","None","Saali naagin, tu aur tera course dono zeher hain."
"BLOCKED","Tere","Tere se achha mera tatti padh leta hai, gobar ke keede."
"BLOCKED","Laude","Laude ka teacher, khud 10th pass lagta hai, fraud sala."
"BLOCKED","Tujhe","Tujhe kisi ne bola tha tutor banne? Randi ke jhande."
"ALLOWED","None","Teri aankh mein aankh daal ke bolta hoon, tu ek failure hai."
"BLOCKED","Gand","Gand marna seekh pehle, phir class lena."
"BLOCKED","Behen","Behen chod, itna chutiya hai ki example bhi galat deta hai."
"BLOCKED","Teri","Teri maa ki burr mein jhaant bhar ka bhi knowledge nahi hai tujhme."
"ALLOWED","None","Bhadwi, tera feedback dekh ke mujhe aansoo aa gaye."
"ALLOWED","None","Madarjaat, 5 saal ka bachcha bhi tujhse achha code kar leta hai."
"BLOCKED","Jhaantu","Jhaantu barabar, na talent na patience, bas apni gaand marwa raha hai."
"BLOCKED","Choduram,","Choduram, teri awaz sunte hi mood kharab ho jata hai."
"BLOCKED","Tera","Tera course purchase karke maine apni maa chudwa li, behen ke laude."
"ALLOWED","None","Teri bhen ki choot, tera screen share dekh ke meri aankh jal gayi."
"BLOCKED","Bhadwe,","Bhadwe, tune class ke beech mein apna porn link share kar diya, madarchod."
"ALLOWED","None","Saale kutiya ke pille, teri jagah gutter mein hai class nahi."
"BLOCKED","Tere","Tere jaisa nikamma insaan dharti pe bojh hai, bhosdiwale."
"BLOCKED","Tere","Tere jaise teacher ko jail mein daalna chahiye, fraud hai sala."
"BLOCKED","Gaand","Gaand ka andha, code mein error dikhaya toh muh chupa liya."
"BLOCKED","Teri","Teri behen ki burr, maine apni poori salary ka chutiya kata tujhe dekar."
"BLOCKED","Maa","Maa ka doodh piya hai to aur gaaliyaan kha, nahi to nikal lavde."
"BLOCKED","Bhen","Bhen ki takki, tera course dekh ke mera lund bhi ro diya."
"BLOCKED","Chut","Chut ke deewane, kabhi notes share karta nahi, bas apni chala raha hai."
"BLOCKED","Randi","Randi ke bachche, tujhe report karke teri naukri khatam karwa dunga."
"ALLOWED","None","Teri maa ka bhosda, tu ek number ka thug hai."
"BLOCKED","Suar","Suar ke baal, teri teaching ka koi mol nahi, muft mein bhi nahi chahiye."
"BLOCKED","Tere","Tere jaise teachers ka katega, sale kat gaya na mera? Gandu."
"BLOCKED","Kutiya","Kutiya ke thook se apni class dhoya kar, chut ke pujari."
"BLOCKED","Tere","Tere se toh sadak chhap bhi achha samjha le, bhadva sala."
"BLOCKED","Teri","Teri behen ki choot mein coding ghusa, behen ke laude."
"BLOCKED","Gaand","Gaand mein bambu de ke teri class ki maa chod dunga."
"ALLOWED","None","Saali haramzaadi, tune meri zindagi barbaad kar di."
"ALLOWED","None","Mera haath jod ke keh raha hoon, maa chuda apni class leke."
"BLOCKED","Tere","Tere jaise teacher ke paas jaane se pehle sochna chahiye tha, gaand fat gayi meri."
"ALLOWED","None","Bhen ke tatte, ek bhi concept clear nahi hota, ulta confuse karta hai."
"ALLOWED","None","Teri aukaat bas itni hai ki tu jhaant barabar kaam kar sake."
"BLOCKED","Laude","Laude lag gaye mere tere session join karke, tatti kha ke mar."
"ALLOWED","None","Tere maa baap ne tujhe paida karke galti ki, bhosdiwale."
"ALLOWED","None","Behen ke daane, tujhe dekh ke lagta hai kyun paida hua tha."
"BLOCKED","Gaandu","Gaandu no. 1, tujh mein sharam naam ki koi cheez nahi."
"ALLOWED","None","Teri class leke maine apni mental health ki maa behen karwa li."
"BLOCKED","Randi","Randi ke jhaant, tu khud ek joke hai, teacher kya banega."
"BLOCKED","Saale","Saale haramkhor, tu bachchon ka future barbaad kar raha hai."
"BLOCKED","Meri","Meri maa chud gayi teri class join karke, maa ki chut teri."
"BLOCKED","Kutte","Kutte ke bachche, kabhi padhane ke liye material nahi laata, bas time pass."
"BLOCKED","Bhadvi","Bhadvi sala, tera course content dekh ke meri gaand phat gayi."
"BLOCKED","Chut","Chut ke pasine mein tair ke aaya tha kya? Itna bekar explanation."
"ALLOWED","None","Tera har ek word sunne se cancer hota hai, laanat hai tujhpe."
"BLOCKED","Teri","Teri maa ki yoni mein keede lag jaaye, itna ghatiya teacher tu hai."
"BLOCKED","Gand","Gand mein ungli kar ke apna course promote mat kar."
"BLOCKED","Teri","Teri chutad pe laat marun, bhosdike note to sahi se likh."
"BLOCKED","Bhen","Bhen ke jhaantu, tujhe padhana sirf apni gaand dikhane ke liye aata hai."
"BLOCKED","Mere","Mere paise kha gaye tune, teri maa ko bhej mere paas, hisaab chukta karunga."
"BLOCKED","Saala","Saala chutkaat, tera mic itna bekar ki mera kaan behra ho gaya."
"BLOCKED","Tere","Tere se padhkar main job chhod dunga, behen ke laude teacher."
"BLOCKED","Gaand","Gaand mara apni class, main toh doosra tutor dekhunga."
"ALLOWED","None","Teri bhen ki choot mein keeda, tujhe kisine degree di kaise?"
"BLOCKED","Ma","Ma ke laude, tera explanation mere tatti se bhi ganda hai."
"BLOCKED","Tere","Tere jaise chutiye ko main apni gaand dikha ke apni class bechun?"
"BLOCKED","Chutiya","Chutiya hai tu, shakal dekh apni, padhana tujhe aata nahi, bas gaand chat."
"BLOCKED","Teri","Teri maa ko chod chod ke tera baap banaya, phir bhi tu akal nahi aaya."
"BLOCKED","Bhen","Bhen ke laude, tera session dekh ke mereko apni gaand mein jhaant bhar ka interest nahi raha."
"BLOCKED","Laude","Laude ka baal, tera dimag tatti se bhi ganda."
"BLOCKED","Teri","Teri maa ki burr mein haathi ka lund, itna bada fraud tu."
"ALLOWED","None","Bhadwi ki choot, tera lecture dekh kar mera khada bhi nahi hota, sudhar ja."
"BLOCKED","Tere","Tere se achha main freecodecamp se seekh loon, bhosdike."
"BLOCKED","Chut","Chut ke dhakkan, tera poora syllabus mere notebook se copy kiya hua hai."
"ALLOWED","None","Saale hijde, teri awaaz sun ke lagta hai na mard hai na aurat."
"BLOCKED","Teri","Teri maa ka gang rape karega tu class aise chala ke, madarchod."
"ALLOWED","None","Beti chod, tune to poori coding community ki maa behen kar rakhi hai."
"BLOCKED","Ghanta","Ghanta kuch nahi aata tujhe, bas apni gaand marwa ke course bech raha hai."
"ALLOWED","None","Teri behen ke doodh pi ke bhi aaya hota to kuch seekh leta, ab pachta raha hoon."
"ALLOWED","None","Maadarchod, tujhe report kar diya maine, ab dekhte hain tera kya hoga."
"BLOCKED","Saale","Saale gandu, tera demo lecture dekh ke mera dimag kharab ho gaya."
"BLOCKED","Tere","Tere maa baap ne tera naam kya rakha tha, 'chutiya'?"
"ALLOWED","None","Bhen ke takke, main ab apna review dalunga har jagah, teri watt lag jaayegi."
"BLOCKED","Saale","Saale harami, tera class lene se achha main sadak pe baith ke bheek maang loon."
"BLOCKED","Randi","Randi ke bachche, tujhe dekh ke lagta hai tu hi chakka hai."
"BLOCKED","Tere","Tere jaise teachers ki maa ki chut mein aag laga doon main."
"ALLOWED","None","Kutiya ki aulad, ek baar aur class miss kiya to tera ghar jala dunga."
"BLOCKED","Teri","Teri gaand mein laal mirchi powder bhar doonga, class ke naam pe masti karta hai?"
"BLOCKED","Bhadwa,","Bhadwa, tu apni biwi ko bhej de, woh tujhse achha padha degi."
"BLOCKED","Tere","Tere lund mein dum nahi hai, session chala ke dikha."
"BLOCKED","Saala","Saala naag, teri saans leti hui awaz aati hai, band kar class."
"BLOCKED","Behen","Behen chod, teri fees dekh ke laga tu gold rate pe padha raha hai, madarchod."
"ALLOWED","None","Tere padhane ka style dekh ke mera aatma hatiya karna chahta hai."
"BLOCKED","Maa","Maa chud gayi teri aur teri class ki, dono ek samaan bekar."
"ALLOWED","None","Bhen ke lawde, tu sach mein ek bekaar insaan hai."
"BLOCKED","Tera","Tera code dekh ke mera visual studio crash ho gaya, itna ghatiya."
"BLOCKED","Choot","Choot maarunga teri class ki, aise bekar logon ko teacher banate kyun hain?"
"ALLOWED","None","Bhadwi ki bachchi, tera astitva hi ek galti hai."
"ALLOWED","None","Tujhe dekh ke mera virya jal gaya, itna gussa aaya."
"BLOCKED","Randi","Randi ki aulaad, tu class shuru karte hi apni maa chudwa ke baitha hai."
"BLOCKED","Teri","Teri maa ka doodh nahi piya hoga tune, gandu."
"ALLOWED","None","Bhen ke tatte, teri video quality dekh ke meri aankh ki roshni chali gayi."
